time,time_error,rate,rate_error,fracexp
52777.13434933063,5.787037037037037e-7,7.89600e+04,1.25666e+03,1
52777.13434990932,5.787037037037037e-7,7.66200e+04,1.23790e+03,1
52777.13435048804,5.787037037037037e-7,7.62200e+04,1.23467e+03,1
52777.13435106674,5.787037037037037e-7,7.58000e+04,1.23126e+03,1
52777.13435164545,5.787037037037037e-7,7.53200e+04,1.22735e+03,1
52777.13435222414,5.787037037037037e-7,7.58000e+04,1.23126e+03,1
52777.13435280284,5.787037037037037e-7,7.87600e+04,1.25507e+03,1
52777.13435338156,5.787037037037037e-7,7.58800e+04,1.23191e+03,1
52777.13435396025,5.787037037037037e-7,8.10600e+04,1.27326e+03,1
52777.13435453897,5.787037037037037e-7,7.76600e+04,1.24627e+03,1
52777.13435511767,5.787037037037037e-7,7.53600e+04,1.22768e+03,1
52777.13435569636,5.787037037037037e-7,7.66600e+04,1.23822e+03,1
52777.13435627508,5.787037037037037e-7,7.44600e+04,1.22033e+03,1
52777.13435685377,5.787037037037037e-7,7.81000e+04,1.24980e+03,1
52777.13435743249,5.787037037037037e-7,7.58000e+04,1.23126e+03,1
52777.13435801119,5.787037037037037e-7,7.55600e+04,1.22931e+03,1
52777.13435858988,5.787037037037037e-7,7.91200e+04,1.25793e+03,1
52777.13435916859,5.787037037037037e-7,7.45200e+04,1.22082e+03,1
52777.13435974730,5.787037037037037e-7,7.50600e+04,1.22523e+03,1
52777.13436032601,5.787037037037037e-7,7.91000e+04,1.25778e+03,1
52777.13436090470,5.787037037037037e-7,7.73400e+04,1.24370e+03,1
52777.13436148340,5.787037037037037e-7,7.78000e+04,1.24740e+03,1
52777.13436206212,5.787037037037037e-7,7.60800e+04,1.23353e+03,1
52777.13436264081,5.787037037037037e-7,7.56000e+04,1.22963e+03,1
52777.13436321953,5.787037037037037e-7,7.53600e+04,1.22768e+03,1
52777.13436379823,5.787037037037037e-7,7.74000e+04,1.24419e+03,1
52777.13436437692,5.787037037037037e-7,7.84200e+04,1.25236e+03,1
52777.13436495564,5.787037037037037e-7,7.64200e+04,1.23628e+03,1
52777.13436553433,5.787037037037037e-7,7.59600e+04,1.23256e+03,1
52777.13436611305,5.787037037037037e-7,7.63800e+04,1.23596e+03,1
52777.13436669175,5.787037037037037e-7,7.75200e+04,1.24515e+03,1
52777.13436727044,5.787037037037037e-7,7.74400e+04,1.24451e+03,1
52777.13436784916,5.787037037037037e-7,7.61600e+04,1.23418e+03,1
52777.13436842785,5.787037037037037e-7,7.42800e+04,1.21885e+03,1
52777.13436900657,5.787037037037037e-7,7.53000e+04,1.22719e+03,1
52777.13436958526,5.787037037037037e-7,7.79200e+04,1.24836e+03,1
52777.13437016396,5.787037037037037e-7,7.93000e+04,1.25936e+03,1
52777.13437074268,5.787037037037037e-7,7.42200e+04,1.21836e+03,1
52777.13437132137,5.787037037037037e-7,7.71600e+04,1.24226e+03,1
52777.13437190009,5.787037037037037e-7,7.74400e+04,1.24451e+03,1
52777.13437247879,5.787037037037037e-7,7.57400e+04,1.23077e+03,1
52777.13437305748,5.787037037037037e-7,7.65200e+04,1.23709e+03,1
52777.13437363620,5.787037037037037e-7,7.60600e+04,1.23337e+03,1
52777.13437421490,5.787037037037037e-7,7.70400e+04,1.24129e+03,1
52777.13437479361,5.787037037037037e-7,7.66200e+04,1.23790e+03,1
52777.13437537230,5.787037037037037e-7,7.83000e+04,1.25140e+03,1
52777.13437595100,5.787037037037037e-7,7.68600e+04,1.23984e+03,1
52777.13437652972,5.787037037037037e-7,7.90600e+04,1.25746e+03,1
52777.13437710841,5.787037037037037e-7,7.41600e+04,1.21787e+03,1
52777.13437768713,5.787037037037037e-7,7.50200e+04,1.22491e+03,1
52777.13437826583,5.787037037037037e-7,7.65800e+04,1.23758e+03,1
52777.13437884452,5.787037037037037e-7,7.44800e+04,1.22049e+03,1
52777.13437942324,5.787037037037037e-7,7.35800e+04,1.21310e+03,1
52777.13438000193,5.787037037037037e-7,7.45200e+04,1.22082e+03,1
52777.13438058065,5.787037037037037e-7,7.83800e+04,1.25204e+03,1
52777.13438115935,5.787037037037037e-7,7.54400e+04,1.22833e+03,1
52777.13438173804,5.787037037037037e-7,7.61000e+04,1.23369e+03,1
52777.13438231676,5.787037037037037e-7,7.66400e+04,1.23806e+03,1
52777.13438289546,5.787037037037037e-7,7.73200e+04,1.24354e+03,1
52777.13438347417,5.787037037037037e-7,7.60400e+04,1.23321e+03,1
52777.13438405286,5.787037037037037e-7,7.34600e+04,1.21211e+03,1
52777.13438463156,5.787037037037037e-7,7.95600e+04,1.26143e+03,1
52777.13438521028,5.787037037037037e-7,7.67400e+04,1.23887e+03,1
52777.13438578897,5.787037037037037e-7,7.54600e+04,1.22849e+03,1
52777.13438636769,5.787037037037037e-7,7.47800e+04,1.22295e+03,1
52777.13438694639,5.787037037037037e-7,7.34800e+04,1.21227e+03,1
52777.13438752508,5.787037037037037e-7,7.27800e+04,1.20648e+03,1
52777.13438810380,5.787037037037037e-7,7.37800e+04,1.21474e+03,1
52777.13438868249,5.787037037037037e-7,7.39200e+04,1.21589e+03,1
52777.13438926121,5.787037037037037e-7,7.31400e+04,1.20946e+03,0
